date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,calendar,685.71,683.17,683.17,0.1495,1.5,0.85,28.5,-357.64,14.95,12.0,13513.7,683,-0.1637,0.2423,0.106,2.5593,stop,-246.63,688,0.2085,0.3282,0.179,1.2761,stop,-111.01
2026-01-05,2026-01-02,strangle,calendar,686.54,687.72,687.73,0.1451,1.5,0.85,24.57,-212.69,14.51,11.72,13509.37,684,-0.1723,0.2512,0.1135,0.7985,stop,-69.79,689,0.1847,0.2732,0.1322,1.5482,stop,-142.9
2026-01-06,2026-01-05,strangle,calendar,688.4,691.81,692.05,0.149,1.5,0.85,28.23,-245.3,14.9,12.44,13556.22,686,-0.1928,0.2982,0.1535,1.0224,stop,-88.19,691,0.1784,0.2691,0.1288,1.6868,stop,-157.1
2026-01-07,2026-01-06,strangle,calendar,692.19,689.58,689.59,0.1475,1.5,0.85,28.3,-199.48,14.75,12.13,13653.1,690,-0.213,0.3374,0.1868,1.2623,stop,-108.85,695,0.1584,0.2308,0.0962,0.9894,stop,-90.62
2026-01-08,2026-01-07,strangle,calendar,688.61,689.51,689.44,0.1538,1.5,0.85,32.47,-226.54,15.38,12.54,13565.67,686,-0.1805,0.2832,0.1407,1.1731,stop,-104.54,691,0.2061,0.3341,0.184,1.391,stop,-122.0
2026-01-09,2026-01-08,strangle,calendar,690.63,694.07,693.99,0.1545,1.5,0.85,33.52,-302.14,15.45,12.83,13609.12,688,-0.1805,0.2852,0.1425,1.3021,stop,-117.26,693,0.2098,0.3444,0.1928,2.0286,stop,-184.89
2026-01-12,2026-01-09,strangle,calendar,690.68,695.16,695.16,0.1449,1.5,0.85,25.42,-274.36,14.49,10.86,13607.01,688,-0.1605,0.2309,0.0963,0.7363,stop,-65.3,693,0.1998,0.3034,0.1579,2.2355,stop,-209.07
2026-01-13,2026-01-12,strangle,calendar,695.49,693.77,693.75,0.1512,1.5,0.85,31.4,-303.79,15.12,11.94,13691.82,693,-0.19,0.3001,0.1551,2.2919,stop,-214.98,698,0.1928,0.3046,0.1589,1.034,stop,-88.81
2026-01-14,2026-01-13,strangle,calendar,691.0,690.36,690.44,0.1598,1.5,0.85,22.82,-284.02,15.98,12.51,13542.82,688,-0.1571,0.248,0.1108,2.0487,stop,-195.09,694,0.1615,0.2557,0.1174,0.9937,stop,-88.93
2026-01-15,2026-01-14,strangle,calendar,694.57,692.24,692.17,0.1675,1.5,0.85,46.09,-209.67,16.75,13.18,13694.5,692,-0.2063,0.369,0.2136,1.4535,stop,-125.29,697,0.224,0.4086,0.2473,1.0782,stop,-84.38
2026-01-16,2026-01-15,strangle,calendar,693.66,691.66,691.58,0.1584,1.5,0.85,37.69,-244.75,15.84,12.32,13676.89,691,-0.1847,0.3026,0.1572,1.6394,stop,-149.52,696,0.2196,0.3761,0.2197,1.1589,stop,-95.23
2026-01-20,2026-01-16,strangle,calendar,681.49,677.58,677.61,0.1586,1.5,0.85,35.13,-302.45,15.86,12.09,13415.54,679,-0.1965,0.322,0.1737,1.0608,stop,-90.01,684,0.1993,0.3266,0.1776,2.289,stop,-212.44
2026-01-21,2026-01-20,strangle,calendar,679.65,685.4,685.33,0.2009,1.5,0.85,55.89,-349.61,20.09,19.93,13383.89,677,-0.2356,0.5147,0.3375,1.4678,stop,-114.33,683,0.1862,0.3781,0.2214,2.5611,stop,-235.27
2026-01-22,2026-01-21,strangle,calendar,689.83,688.98,688.93,0.169,1.5,0.85,30.09,-281.82,16.9,15.88,13543.69,687,-0.1841,0.3197,0.1718,2.0255,stop,-186.67,693,0.1613,0.2695,0.1291,1.0676,stop,-95.15
2026-01-23,2026-01-22,strangle,calendar,688.15,689.23,689.18,0.1564,1.5,0.85,35.46,-234.74,15.64,14.38,13583.45,686,-0.2292,0.391,0.2324,1.3256,stop,-110.62,691,0.1677,0.2614,0.1222,1.3504,stop,-124.12
2026-01-26,2026-01-23,strangle,calendar,690.49,692.73,692.71,0.1609,1.5,0.85,39.05,-287.04,16.09,15.0,13599.44,688,-0.2029,0.3449,0.1932,1.1021,stop,-92.19,693,0.2058,0.3498,0.1973,2.1328,stop,-194.85
2026-01-27,2026-01-26,strangle,calendar,694.18,695.49,695.54,0.1615,1.5,0.85,41.14,-213.23,16.15,15.05,13706.74,692,-0.2352,0.4213,0.2581,1.24,stop,-99.49,697,0.1802,0.298,0.1533,1.2776,stop,-113.74
2026-01-28,2026-01-27,strangle,calendar,697.05,695.42,695.43,0.1635,1.5,0.85,26.89,-194.71,16.35,14.85,13672.89,694,-0.1607,0.2634,0.1239,1.1068,stop,-99.59,700,0.1733,0.2883,0.145,1.0832,stop,-95.12
2026-01-29,2026-01-28,strangle,calendar,696.39,694.04,693.97,0.1635,1.5,0.85,42.78,-628.86,16.35,14.54,13731.58,694,-0.218,0.3878,0.2296,5.5365,stop,-531.99,699,0.2024,0.3508,0.1982,1.154,stop,-96.87
2026-02-03,2026-02-02,strangle,calendar,696.21,689.53,689.46,0.1634,1.5,0.85,43.19,-467.17,16.34,14.45,13746.38,694,-0.2354,0.428,0.2638,3.9583,stop,-370.75,699,0.1863,0.3154,0.1681,1.1192,stop,-96.42
2026-02-04,2026-02-03,strangle,calendar,690.35,686.19,686.12,0.18,1.5,0.85,40.15,-344.12,18.0,17.07,13582.15,687,-0.1589,0.2833,0.1408,2.3618,stop,-223.4,693,0.2193,0.4243,0.2607,1.4549,stop,-120.73
2026-02-09,2026-02-06,strangle,calendar,689.42,693.95,693.91,0.1776,1.5,0.85,54.47,-358.0,17.76,15.43,13600.87,687,-0.2316,0.4511,0.2834,1.4865,stop,-121.6,692,0.222,0.425,0.2612,2.6121,stop,-236.39
2026-02-10,2026-02-09,strangle,calendar,694.95,692.12,692.09,0.1736,1.5,0.85,34.81,-248.44,17.36,14.75,13638.81,692,-0.1824,0.3269,0.1779,1.4125,stop,-124.76,698,0.179,0.3178,0.1702,1.3939,stop,-123.67
2026-02-11,2026-02-10,strangle,calendar,696.39,691.96,691.92,0.1779,1.5,0.85,56.53,-615.54,17.79,14.94,13745.33,694,-0.2369,0.4702,0.2997,5.3607,stop,-507.4,699,0.2221,0.4301,0.2656,1.334,stop,-108.14
2026-02-12,2026-02-11,strangle,calendar,694.24,681.27,681.22,0.1765,1.5,0.85,37.55,-259.84,17.65,14.18,13646.35,691,-0.1636,0.2896,0.1462,1.5574,stop,-142.42,697,0.2065,0.3874,0.2293,1.3905,stop,-117.42
2026-02-13,2026-02-12,strangle,calendar,681.72,681.75,681.6,0.2082,1.5,0.85,45.69,-391.26,20.82,19.8,13352.09,678,-0.1657,0.341,0.1898,2.6406,stop,-246.37,685,0.2005,0.4318,0.2671,1.703,stop,-144.89
2026-02-17,2026-02-13,strangle,calendar,680.14,682.85,682.75,0.206,1.5,0.85,60.08,-447.46,20.6,18.77,13376.88,677,-0.2029,0.4353,0.27,2.7479,stop,-249.09,683,0.2293,0.5068,0.3308,2.3014,stop,-198.36
2026-02-19,2026-02-18,strangle,calendar,683.84,684.48,684.51,0.1962,1.5,0.85,52.13,-303.93,19.62,19.08,13444.93,681,-0.2162,0.452,0.2842,1.6181,stop,-134.69,687,0.196,0.3965,0.2371,1.9164,stop,-169.24
2026-02-20,2026-02-19,strangle,calendar,682.32,689.43,689.35,0.2023,1.5,0.85,40.81,-532.33,20.23,19.87,13355.21,679,-0.1863,0.3844,0.2268,1.2334,stop,-101.97,686,0.1661,0.331,0.1814,4.472,stop,-430.37
2026-02-23,2026-02-20,strangle,calendar,687.83,682.39,682.41,0.1909,1.5,0.85,48.4,-393.56,19.09,18.02,13522.0,685,-0.212,0.4314,0.2667,2.6019,stop,-234.82,691,0.1901,0.3733,0.2173,1.7917,stop,-158.74
2026-02-25,2026-02-24,strangle,calendar,690.97,693.15,693.1,0.1955,1.5,0.85,53.19,-234.53,19.55,18.6,13575.6,688,-0.2074,0.4315,0.2668,1.3987,stop,-114.49,694,0.2075,0.4296,0.2651,1.4526,stop,-120.04
2026-02-26,2026-02-25,strangle,calendar,693.28,689.3,689.32,0.1793,1.5,0.85,39.89,-642.38,17.93,16.28,13633.49,690,-0.1641,0.295,0.1507,5.7329,stop,-559.52,696,0.2133,0.4096,0.2482,1.0638,stop,-82.86
2026-02-27,2026-02-26,strangle,calendar,683.09,685.99,686.28,0.1863,1.5,0.85,43.1,-369.06,18.63,16.65,13413.91,680,-0.184,0.3489,0.1966,1.4448,stop,-126.12,686,0.203,0.3934,0.2344,2.6507,stop,-242.93
2026-03-02,2026-02-27,strangle,calendar,678.7,686.38,686.37,0.1986,1.5,0.85,53.35,-531.31,19.86,18.59,13357.35,676,-0.2286,0.4884,0.3152,1.4232,stop,-112.1,682,0.1867,0.3746,0.2184,4.3975,stop,-419.21
2026-03-03,2026-03-02,strangle,calendar,675.06,680.33,680.28,0.2144,1.5,0.85,66.29,-520.3,21.44,21.18,13273.49,672,-0.2164,0.4885,0.3152,3.7887,stop,-348.65,678,0.2304,0.5268,0.3477,2.0513,stop,-171.65
2026-03-26,2026-03-25,strangle,calendar,652.06,645.09,645.1,0.2533,1.5,0.85,58.39,-334.34,25.33,25.26,12705.59,648,-0.181,0.4437,0.2771,1.6298,stop,-136.56,656,0.1931,0.4786,0.3068,2.2715,stop,-197.77
2026-03-27,2026-03-26,strangle,calendar,642.5,634.09,634.08,0.2744,1.5,0.85,56.58,-344.43,27.44,27.05,12456.58,638,-0.1719,0.4438,0.2772,2.6616,stop,-239.74,647,0.1769,0.4571,0.2886,1.3225,stop,-104.7
