date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-02,2025-12-31,strangle,calendar,685.71,683.17,683.17,0.1495,1.0,1.0,51.06,-149.57,14.95,12.0,13536.26,683,-0.1637,0.2423,0.2123,1.9803,stop,-178.1,688,0.2085,0.3282,0.2982,0.0,cash_settle_proxy,28.52
2026-01-05,2026-01-02,strangle,calendar,686.54,687.72,687.73,0.1451,1.0,1.0,46.44,-50.02,14.51,11.72,13531.24,684,-0.1723,0.2512,0.2212,0.0,cash_settle_proxy,20.82,689,0.1847,0.2732,0.2432,0.9386,stop,-70.84
2026-01-06,2026-01-05,strangle,calendar,688.4,691.81,692.05,0.149,1.0,1.0,50.74,-57.69,14.9,12.44,13578.73,686,-0.1928,0.2982,0.2682,0.0,cash_settle_proxy,25.52,691,0.1784,0.2691,0.2391,1.0583,stop,-83.21
2026-01-07,2026-01-06,strangle,calendar,692.19,689.58,689.59,0.1475,1.0,1.0,50.82,6.22,14.75,12.13,13675.62,690,-0.213,0.3374,0.3074,0.42,cash_settle_proxy,-12.56,695,0.1584,0.2308,0.2008,0.0,cash_settle_proxy,18.78
2026-01-08,2026-01-07,strangle,calendar,688.61,689.51,689.44,0.1538,1.0,1.0,55.73,53.13,15.38,12.54,13588.93,686,-0.1805,0.2832,0.2532,0.0,cash_settle_proxy,24.02,691,0.2061,0.3341,0.3041,0.0,cash_settle_proxy,29.11
2026-01-09,2026-01-08,strangle,calendar,690.63,694.07,693.99,0.1545,1.0,1.0,56.97,-83.59,15.45,12.83,13632.57,688,-0.1805,0.2852,0.2552,0.0,cash_settle_proxy,24.22,693,0.2098,0.3444,0.3144,1.3796,stop,-107.82
2026-01-12,2026-01-09,strangle,calendar,690.68,695.16,695.16,0.1449,1.0,1.0,47.43,-119.12,14.49,10.86,13629.03,688,-0.1605,0.2309,0.2009,0.0,cash_settle_proxy,18.79,693,0.1998,0.3034,0.2734,1.6395,stop,-137.91
2026-01-13,2026-01-12,strangle,calendar,695.49,693.77,693.75,0.1512,1.0,1.0,54.47,-115.26,15.12,11.94,13715.27,693,-0.19,0.3001,0.2701,1.6713,stop,-141.42,698,0.1928,0.3046,0.2746,0.0,cash_settle_proxy,26.16
2026-01-14,2026-01-13,strangle,calendar,691.0,690.36,690.44,0.1598,1.0,1.0,44.37,-96.58,15.98,12.51,13564.37,688,-0.1571,0.248,0.218,1.3835,stop,-117.85,694,0.1615,0.2557,0.2257,0.0,cash_settle_proxy,21.27
2026-01-15,2026-01-14,strangle,calendar,694.57,692.24,692.17,0.1675,1.0,1.0,71.76,-36.06,16.75,13.18,13720.16,692,-0.2063,0.369,0.339,1.0522,stop,-72.62,697,0.224,0.4086,0.3786,0.0,cash_settle_proxy,36.56
2026-01-16,2026-01-15,strangle,calendar,693.66,691.66,691.58,0.1584,1.0,1.0,61.87,-38.76,15.84,12.32,13701.07,691,-0.1847,0.3026,0.2726,0.9803,stop,-72.07,696,0.2196,0.3761,0.3461,0.0,cash_settle_proxy,33.31
2026-01-20,2026-01-16,strangle,calendar,681.49,677.58,677.61,0.1586,1.0,1.0,58.86,-266.68,15.86,12.09,13439.66,679,-0.1965,0.322,0.292,1.5865,stop,-130.75,684,0.1993,0.3266,0.2966,1.6429,stop,-135.93
2026-01-21,2026-01-20,strangle,calendar,679.65,685.4,685.33,0.2009,1.0,1.0,83.28,-94.19,20.09,19.93,13411.28,677,-0.2356,0.5147,0.4847,0.0,cash_settle_proxy,47.17,683,0.1862,0.3781,0.3481,1.7487,stop,-141.36
2026-01-22,2026-01-21,strangle,calendar,689.83,688.98,688.93,0.169,1.0,1.0,52.93,-82.15,16.9,15.88,13566.53,687,-0.1841,0.3197,0.2897,1.3248,stop,-104.8,693,0.1613,0.2695,0.2395,0.0,cash_settle_proxy,22.65
2026-01-23,2026-01-22,strangle,calendar,688.15,689.23,689.18,0.1564,1.0,1.0,59.24,-53.0,15.64,14.38,13607.24,686,-0.2292,0.391,0.361,0.0,cash_settle_proxy,34.8,691,0.1677,0.2614,0.2314,1.0964,stop,-87.8
2026-01-26,2026-01-23,strangle,calendar,690.49,692.73,692.71,0.1609,1.0,1.0,63.47,-85.18,16.09,15.0,13624.27,688,-0.2029,0.3449,0.3149,0.0,cash_settle_proxy,30.19,693,0.2058,0.3498,0.3198,1.4605,stop,-115.37
2026-01-27,2026-01-26,strangle,calendar,694.18,695.49,695.54,0.1615,1.0,1.0,65.92,-28.59,16.15,15.05,13731.53,692,-0.2352,0.4213,0.3913,0.0,cash_settle_proxy,37.83,697,0.1802,0.298,0.268,0.9191,stop,-66.42
2026-01-28,2026-01-27,strangle,calendar,697.05,695.42,695.43,0.1635,1.0,1.0,49.17,-35.79,16.35,14.85,13695.16,694,-0.1607,0.2634,0.2334,0.8236,stop,-60.32,700,0.1733,0.2883,0.2583,0.0,cash_settle_proxy,24.53
2026-01-29,2026-01-28,strangle,calendar,696.39,694.04,693.97,0.1635,1.0,1.0,67.86,-456.43,16.35,14.54,13756.66,694,-0.218,0.3878,0.3578,5.2169,stop,-487.21,699,0.2024,0.3508,0.3208,0.0,cash_settle_proxy,30.78
2026-02-03,2026-02-02,strangle,calendar,696.21,689.53,689.46,0.1634,1.0,1.0,68.34,-279.89,16.34,14.45,13771.53,694,-0.2354,0.428,0.398,3.4563,stop,-307.13,699,0.1863,0.3154,0.2854,0.0,cash_settle_proxy,27.24
2026-02-04,2026-02-03,strangle,calendar,690.35,686.19,686.12,0.18,1.0,1.0,64.76,-100.29,18.0,17.07,13606.76,687,-0.1589,0.2833,0.2533,1.6246,stop,-138.43,693,0.2193,0.4243,0.3943,0.0,cash_settle_proxy,38.13
2026-02-09,2026-02-06,strangle,calendar,689.42,693.95,693.91,0.1776,1.0,1.0,81.61,-110.13,17.76,15.43,13628.01,687,-0.2316,0.4511,0.4211,0.0,cash_settle_proxy,40.81,692,0.222,0.425,0.395,1.8914,stop,-150.94
2026-02-10,2026-02-09,strangle,calendar,694.95,692.12,692.09,0.1736,1.0,1.0,58.48,55.88,17.36,14.75,13662.48,692,-0.1824,0.3269,0.2969,0.0,cash_settle_proxy,28.39,698,0.179,0.3178,0.2878,0.0,cash_settle_proxy,27.48
2026-02-11,2026-02-10,strangle,calendar,696.39,691.96,691.92,0.1779,1.0,1.0,84.03,-413.52,17.79,14.94,13772.83,694,-0.2369,0.4702,0.4402,4.9495,stop,-452.23,699,0.2221,0.4301,0.4001,0.0,cash_settle_proxy,38.71
2026-02-12,2026-02-11,strangle,calendar,694.24,681.27,681.22,0.1765,1.0,1.0,61.7,-26.01,17.65,14.18,13670.5,691,-0.1636,0.2896,0.2596,0.8512,stop,-60.45,697,0.2065,0.3874,0.3574,0.0,cash_settle_proxy,34.44
2026-02-13,2026-02-12,strangle,calendar,681.72,681.75,681.6,0.2082,1.0,1.0,71.28,-237.67,20.82,19.8,13377.68,678,-0.1657,0.341,0.311,1.8076,stop,-150.96,685,0.2005,0.4318,0.4018,1.2559,stop,-86.71
2026-02-17,2026-02-13,strangle,calendar,680.14,682.85,682.75,0.206,1.0,1.0,88.21,-254.11,20.6,18.77,13405.01,677,-0.2029,0.4353,0.4053,1.9295,stop,-153.72,683,0.2293,0.5068,0.4768,1.4676,stop,-100.38
